song_title,singer,film,year,emotion,keywords
Morni Banke,Neha Kakkar,Badhaai Do,2022,happy,wedding fun dance celebration happy
Genda Phool,Badshah,Album,2020,happy,fun earthy celebration happy dance
Butta Bomma,Armaan Malik,Ala Vaikunthapurramuloo,2020,happy,sweet love happy cheerful joyful
Jai Jai Shivshankar,Hrithik Roshan,War,2019,happy,power celebration fun energetic dance
Kangna,Udit Narayan,Tanu Weds Manu,2011,happy,love fun cheerful happy celebration
Dil Dooba,Udit Narayan,Khakee,2004,happy,love crush happy cheerful fun
Aankh Marey,Mika Singh,Simmba,2018,happy,fun dance celebration party energetic
Hauli Hauli,Garry Sandhu,De De Pyaar De,2019,happy,fun upbeat happy dance celebration
Psycho Saiyaan,Neha Kakkar,Saaho,2019,happy,love fun energetic dance party
Kamariya,Darshan Raval,Mitron,2018,happy,fun dance energetic celebration party
Ishaan,Armaan Malik,Toolsidas Junior,2021,happy,fun cheerful joyful happy energetic
Tum Hi Ho,Arijit Singh,Aashiqui 2,2013,sad,heartbreak loss longing separation love
Channa Mereya,Arijit Singh,Ae Dil Hai Mushkil,2016,sad,breakup farewell separation heartbreak crying
Kal Ho Naa Ho,Sonu Nigam,Kal Ho Naa Ho,2003,sad,life death loss emotional crying
Kabira,Rekha Bhardwaj,Yeh Jawaani Hai Deewani,2013,sad,separation longing missing love melancholy
Ae Dil Hai Mushkil,Arijit Singh,Ae Dil Hai Mushkil,2016,sad,unrequited love pain heartbreak sad
Teri Mitti,B Praak,Kesari,2019,sad,sacrifice patriotism loss emotional grief
Judaai,Arijit Singh,Badlapur,2015,sad,separation pain longing lonely sad
Phir Bhi Tumko Chahunna,Arijit Singh,Fitoor,2016,sad,heartbreak love pain missing lonely
Ik Vaari Aa,Arijit Singh,Raabta,2017,sad,longing love missing someone sad
Bekhayali,Sachet Tandon,Kabir Singh,2019,sad,heartbreak drunk pain lost love
Arijit Singh Medley,Arijit Singh,Various,2015,sad,emotional pain heartbreak longing sad
Tere Sang Yaara,Atif Aslam,Rustom,2016,sad,love lost separation emotional pain
Hamari Adhuri Kahani,Arijit Singh,Hamari Adhuri Kahani,2015,sad,incomplete love heartbreak sad pain
Enna Sona,Arijit Singh,Ok Jaanu,2016,sad,love missing longing separation sad
Woh Lamhe,Atif Aslam,Zeher,2005,sad,memories past love pain missing
O Saathi,Atif Aslam,Baaghi 2,2018,sad,love longing missing heartbreak pain
Tujhse Naraz Nahin,Lata Mangeshkar,Masoom,1983,sad,gentle pain love heartbreak emotional
Alvida,KK,Life In A Metro,2007,sad,goodbye separation farewell sad heartbreak
Tere Liye,Atif Aslam,Princes,2008,sad,love longing pain missing heartbreak
Agar Tum Saath Ho,Arijit Singh,Tamasha,2015,sad,separation love heartbreak pain missing
Kya Hua Tera Wada,Mohammad Rafi,Hum Kisise Kum Nahin,1977,sad,broken promise pain betrayal sad
Dard E Disco,Udit Narayan,Om Shanti Om,2007,sad,heartbreak pain loss emotional sad
Kuch Toh Hua Hai,Shreya Ghoshal,Kal Ho Naa Ho,2003,sad,confusion love pain emotional longing
Hum Ro Diye,Armaan Malik,Mubarakan,2017,sad,heartbreak crying pain longing sad
Roke Na Ruke Naina,Arijit Singh,Wazir,2016,sad,longing missing love pain emotional
Dil Diyan Gallan,Atif Aslam,Tiger Zinda Hai,2017,sad,love separation longing missing emotional
Teri Yaad,Atif Aslam,Album,2003,sad,memories missing love pain longing
Soch Na Sake,Arijit Singh,Airlift,2016,sad,longing love pain missing emotional
Phir Mohabbat,Arijit Singh,Murder 2,2011,sad,love pain longing heartbreak missing
Naina,Arijit Singh,Dangal,2016,sad,longing love pain missing emotional crying
Jo Bhi Main,Mohit Chauhan,Rockstar,2011,sad,lost self identity pain emotional sad
Muskurane,Arijit Singh,CityLights,2014,sad,hope pain emotion longing love
Jab Koi Baat Bigad Jaye,Jurm,Various,1989,sad,relationship problem pain heartbreak sad
Pachtaoge,Arijit Singh,Album,2019,sad,regret pain heartbreak loss sad
Hona Tha Pyar,Atif Aslam,Teri Meri Kahaani,2012,sad,love pain heartbreak separation sad
Ik Lamha,Harshdeep Kaur,Haider,2014,sad,longing love pain heartbreak emotional
Dil Ka Dariya,Various,Badlapur,2015,sad,pain heartbreak longing sad loss
Saware,Arijit Singh,Phantom,2015,sad,missing love longing pain emotional
Khairiyat,Arijit Singh,Chhichhore,2019,sad,missing love longing concern care
Woh Ladki Jo,Various,Dil To Pagal Hai,1997,sad,unrequited love pain missing heartbreak
Teri Meri Kahani,Arijit Singh,Gabbar Is Back,2015,sad,love story pain separation longing
Aadat,Atif Aslam,Kalyug,2005,sad,heartbreak habit missing love pain
Mera Naam Tu,Arijit Singh,Zero,2018,sad,love devotion longing pain heartbreak
Sochta Hoon,Udit Narayan,Refugee,2000,sad,longing love missing pain emotional
Tere Bina,AR Rahman,Guru,2007,romantic,love togetherness beautiful feelings beloved
Raataan Lambiyan,Jubin Nautiyal,Shershaah,2021,romantic,night love romance sweet feelings
Tum Se Hi,Mohit Chauhan,Jab We Met,2007,romantic,love first sight beautiful feelings
Pehla Nasha,Udit Narayan,Jo Jeeta Wohi Sikandar,1992,romantic,first love innocent feelings crush
Tera Ban Jaunga,Akhil Sachdeva,Kabir Singh,2019,romantic,love forever together feelings romance
Hasi Ban Gaye,Ami Mishra,Hamari Adhuri Kahani,2015,romantic,love smile happiness feelings romance
Mere Naam Tu,Abhay Jodhpurkar,Zero,2018,romantic,love devotion beautiful feelings deep
Roop Tera Mastana,Kishore Kumar,Aradhana,1969,romantic,attraction beauty love mesmerizing romance
Lag Jaa Gale,Lata Mangeshkar,Woh Kaun Thi,1964,romantic,embrace love gentle beautiful romance
Tere Mast Mast Do Nain,Rahat Fateh Ali Khan,Dabangg,2010,romantic,beautiful eyes love attraction romance
Teri Ore,Udit Narayan,Singh Is Kinng,2008,romantic,love devotion beautiful feelings romance
Sunn Raha Hai,Arijit Singh,Aashiqui 2,2013,romantic,love listening care beautiful romance
Main Tera Boyfriend,Arijit Singh,Raabta,2017,romantic,love playful crush feelings romance
Dilbaro,Shankar Mahadevan,Raazi,2018,romantic,love bittersweet feelings beautiful emotion
Tere Sang Yaara,Atif Aslam,Rustom,2016,romantic,love togetherness beautiful feelings romance
Jab Se Tere Naina,Udit Narayan,Saawariya,2007,romantic,eyes love attraction beautiful romance
Tumse Milke,Shaan,Main Hoon Na,2004,romantic,meeting love beautiful happy romance
Dil To Pagal Hai,Lata Mangeshkar,Dil To Pagal Hai,1997,romantic,heart love yearning beautiful romance
Pehli Nazar Mein,Atif Aslam,Race,2008,romantic,first glance love attraction instant romance
Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,Rab Ne Bana Di Jodi,2008,romantic,god love divine beautiful romance
Teri Deewani,Kailash Kher,Album,2006,romantic,devotion love deep beautiful romance
Kuch Kuch Hota Hai,Udit Narayan,Kuch Kuch Hota Hai,1998,romantic,love friendship beautiful feelings romance
Jaadu Hai Nasha Hai,Shreya Ghoshal,Jism,2003,romantic,intoxication love magic attraction romance
Teri Aankhon Mein,Darshan Raval,Sanam Teri Kasam,2016,romantic,eyes love beautiful deep romance
Tujhe Kitna Chahne Lage,Arijit Singh,Kabir Singh,2019,romantic,love intensity beautiful deep feelings
Mere Rashke Qamar,Rahat Fateh Ali Khan,Baadshaho,2017,romantic,beautiful attraction love divine romance
Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,2016,romantic,love lost beautiful feelings romance
Bol Do Na Zara,Armaan Malik,Azhar,2016,romantic,love confession beautiful feelings romance
Ilahi,Mohit Chauhan,Yeh Jawaani Hai Deewani,2013,romantic,wanderlust love beautiful feelings romance
Humsafar,Akhil Sachdeva,Badrinath Ki Dulhania,2017,romantic,companion love beautiful journey romance
Mann Mera,Gajendra Verma,Table No 21,2013,romantic,heart love longing beautiful romance
Tu Hi Mera,Sachet Tandon,MS Dhoni,2016,romantic,love devoted beautiful forever romance
Phir Mohabbat,Arijit Singh,Murder 2,2011,romantic,love reunion beautiful feelings romance
Teri Jhuki Nazar,Udit Narayan,Bin Tere Sanam,1994,romantic,gaze love shy beautiful romance
Sanam Re,Arijit Singh,Sanam Re,2016,romantic,love longing beautiful feelings romance
Tujhko Jo Paaya,Shaan,Notebook,2019,romantic,love found beautiful pure romance
Tu Meri,Lucky Ali,Bang Bang,2014,romantic,love mine beautiful devotion romance
Gerua,Arijit Singh,Dilwale,2015,romantic,rain love beautiful colors romance
Hum Tum,Udit Narayan,Hum Tum,2004,romantic,love friendship beautiful feelings romance
Aaj Jaane Ki Zid Na Karo,Farida Khanum,Album,1994,romantic,stay love request beautiful romance
Bin Tere,Shafqat Amanat Ali,I Hate Luv Storys,2010,romantic,without you love missing beautiful romance
Main Tenu Samjhawan Ki,Shreya Ghoshal,Humpty Sharma Ki Dulhania,2014,romantic,love understanding devotion romance
Kar Har Maidaan Fateh,Sukhwinder Singh,Sanju,2018,motivational,victory win achieve overcome success
Chak De India,Sukhwinder Singh,Chak De India,2007,motivational,teamwork win success believe achieve
Ziddi Dil,Various,Mary Kom,2014,motivational,determination fight achieve dream goal
Udaan,KK,Udaan,2010,motivational,dream fly achieve goal success
Sooraj Ki Baahon Mein,Shail Hada,Mohenjo Daro,2016,motivational,hope dream positive success achieve
Salaam India,Various,Mary Kom,2014,motivational,pride nation achieve success inspire
Tu Bhoola Jise,Arijit Singh,Airlift,2016,motivational,hope believe rise strength never give up
Udi Udi Jaye,Harshdeep Kaur,Raees,2017,motivational,soaring freedom spirit energy achieve
Dil Dhadakne Do Motivational,Priyanka Chopra,Dil Dhadakne Do,2015,motivational,dream live life achieve inspire
Phir Se Ud Chala,Mohit Chauhan,Rockstar,2011,motivational,rise fly again dream freedom achieve
Iktara Rise,Kavita Seth,Wake Up Sid,2009,motivational,rise wakeup dream achieve goal
Chale Chalo,AR Rahman,Lagaan,2001,motivational,perseverance fight never stop success
Woh Lamhe Motivational,Shafqat Amanat Ali,Zeher,2005,motivational,moments strength rise achieve goal
Dil Se Re,AR Rahman,Dil Se,1998,motivational,passion heart fire achieve overcome
Swades Theme,AR Rahman,Swades,2004,motivational,nation pride return home achieve rise
Jai Ho,AR Rahman,Slumdog Millionaire,2008,motivational,destiny win achieve hope rise
Lakshya,Shankar Mahadevan,Lakshya,2004,motivational,goal focus achieve win determination
Maula Mere,Salim Merchant,Chak De India,2007,motivational,god help strength believe achieve
Wavin Flag,Various,Album,2010,motivational,rise win achieve freedom strength
Zindagi Do Pal Ki,KK,Kites,2010,motivational,life short live fully achieve dream
Jeena Jeena,Atif Aslam,Badlapur,2015,motivational,life rise positive hope achieve
Nashe Si Motivational,Arijit Singh,Befikre,2016,motivational,high spirits positive energy achieve
Hud Hud Dabangg,Wajid Ali,Dabangg,2010,motivational,fearless power strength achieve rise
Jab Tak Hai Jaan,Mohit Chauhan,Jab Tak Hai Jaan,2012,motivational,life live fully achieve never stop
Bharat Theme,Various,Bharat,2019,motivational,nation pride strength achieve rise
Tu Hi Re,Hariharan,Bombay,1995,motivational,hope dream peace achieve strength
Zindagi Na Milegi Dobara,Shankar Mahadevan,ZNMD,2011,motivational,live life once achieve freedom
Kab Tak Pukarun,Arijit Singh,Mirziya,2016,motivational,call destiny achieve rise dream
Toh Zinda Ho Tum,Mohit Chauhan,Dil Dhadakne Do,2015,motivational,alive living dream achieve
Sooha Saaha,Rabbi Shergill,Highway,2014,motivational,freedom achieve dream open road
Chanda Re,Kavita Krishnamurthy,Sapnay,1996,motivational,dream reach stars achieve shine
Tu Jaane Na,Atif Aslam,Ajab Prem Ki Ghazab Kahani,2009,motivational,discover self worth believe achieve
Main Hoon Hero Tera,Armaan Malik,Hero,2015,motivational,hero strength rise achieve power
Bhaag Milkha Bhaag,Shankar Mahadevan,Bhaag Milkha Bhaag,2013,motivational,run achieve win never give up
Toofan,Various,Toofan,2021,motivational,storm power rise achieve strength
Desh Rangila,Mahalaxmi Iyer,Fanaa,2006,motivational,nation colors pride celebrate rise
Rang De Basanti,Daler Mehndi,Rang De Basanti,2006,motivational,rebellion power youth fight inspire
Sadda Haq,Mohit Chauhan,Rockstar,2011,motivational,rights claim fight achieve rise
Sultan Theme,Sukhwinder Singh,Sultan,2016,motivational,champion rise achieve fight win
Haanikaarak Bapu,Aamir Khan,Dangal,2016,motivational,daughter strength achieve dream rise
Nainowale Ne,Neeti Mohan,Padmaavat,2018,motivational,beauty strength achieve rise inspire
Zinda Hai Tu,Shankar Mahadevan,Bhaag Milkha Bhaag,2013,motivational,alive strong rise achieve win
Ishq Wala Love,Various,Student Of The Year,2012,motivational,love life dream achieve rise
Iktara Achieve,Kavita Seth,Wake Up Sid,2009,motivational,one string goal achieve dream
Manwa Laage,Shreya Ghoshal,Happy New Year,2014,motivational,heart desire achieve dream goal
Zinda,Siddharth Mahadevan,Bhaag Milkha Bhaag,2013,angry,power fierce energy intense angry
Sultan,Sukhwinder Singh,Sultan,2016,angry,fight power energy intense strength
Deva Shree Ganesha,Ajay-Atul,Agneepath,2012,angry,powerful intense fierce energy angry
Jai Ho Defiance,Sukhwinder Singh,Jai Ho,2014,angry,fight power defiance strength intense
Sher Khul Gaye Power,Vishal-Shekhar,Fighter,2024,angry,power strength fierce energy fight
Toofan Storm,KK,Toofan,2021,angry,power storm fierce angry energy
Angry Young Man,Various,Deewar,1975,angry,defiance power struggle angry intense
Bharat Power,Salman Khan,Bharat,2019,angry,strength pride intense emotion power
Sadda Haq Angry,Mohit Chauhan,Rockstar,2011,angry,rebellion defiance rights angry fierce
Dhaakad,Kailash Kher,Dangal,2016,angry,fearless powerful intense strong fight
Sher Aaya Sher,Sukhwinder Singh,Gully Boy,2019,angry,street power fight fierce angry
Raat Bhar,Armaan Malik,Sanju,2018,angry,dark intense fierce troubled angry
Agnipath,Various,Agnipath,2012,angry,fire path fierce intense powerful
Mard Ko Dard Nahin,Various,MKDN,2019,angry,fearless tough intense power angry
Subah Hogi,Various,Don,2006,angry,power dark intense fierce rising
Jumme Ki Raat,Mika Singh,Kick,2014,angry,power intense fierce energy strong
Bande Hain Hum Uske,Sonu Nigam,Jai Ho,2014,angry,power pride fierce intense nation
Bhaag DK Bose,Various,Delhi Belly,2011,angry,frustration anger rebellion fierce intense
Chikni Chameli Intense,Shreya Ghoshal,Agneepath,2012,angry,fierce power intense energy strong
Dhum Machale,Sunidhi Chauhan,Dhoom,2004,angry,power intense energy fierce rebellious
Rowdy Rathore,Sajid-Wajid,Rowdy Rathore,2012,angry,power fierce fight intense strong
Dagabaaz Re,Rahat Fateh Ali Khan,Dabangg 2,2012,angry,defiance power strong intense fight
Character Dheela,Shalmali Kholgade,Ready,2011,angry,defiant independent fierce strong angry
Boss,Various,Boss,2013,angry,power dominate fierce strong intense
Aata Majhi Satakli,Ajay-Atul,Singham Returns,2014,angry,fierce power intense storm fight
Saibo,Shreya Ghoshal,Shor In The City,2011,angry,intense deep emotion fierce power
Dil Dhadakne Do Fierce,Various,Dil Dhadakne Do,2015,angry,intense power fierce fight strong
Angrezi Beat,Yo Yo Honey Singh,Cocktail,2012,angry,fierce energy power intense party
Dilliwali Girlfriend,Arijit Singh,Yeh Jawaani Hai Deewani,2013,angry,edgy fierce fun intense energy
Laila Main Laila,Pawni Pandey,Raees,2017,angry,bold fierce intense power strong
Ghaint Punjab,Various,Udta Punjab,2016,angry,fierce intense state struggle angry
Tu Mera Hero,Various,Main Tera Hero,2014,angry,bold fierce intense power fun
Lag Ja Gale,Lata Mangeshkar,Woh Kaun Thi,1964,relaxed,peace calm serene gentle soothing
Iktara Relax,Kavita Seth,Wake Up Sid,2009,relaxed,peace calm gentle soulful soothing
Piya Bole,Shreya Ghoshal,Parineeta,2005,relaxed,peace serene gentle calm soothing
Tere Liye Relax,Lata Mangeshkar,Veer-Zaara,2004,relaxed,gentle calm peace soothing warm
Safar,Arijit Singh,Jab Harry Met Sejal,2017,relaxed,journey peaceful calm travel light
Khaabon Ke Parinday,Mohit Chauhan,Zindagi Na Milegi Dobara,2011,relaxed,dream freedom calm peaceful serene
Sooha Saaha Relax,Rabbi Shergill,Highway,2014,relaxed,freedom serene calm mountains peaceful
Nadaan Parindey,Mohit Chauhan,Rockstar,2011,relaxed,freedom peace youth gentle calm
Dil Dil Pakistan,Various,Album,1987,relaxed,peace gentle serene calm soothing
Abhi Mujh Mein Kahin,Sonu Nigam,Agneepath,2012,relaxed,soul peace calm introspective serene
Tu Hi Mera Sukoon,Various,Various,2015,relaxed,peace calm serenity gentle soothing
Naina Re,Neha Kakkar,Rockstar,2011,relaxed,eyes peace calm serene gentle
O Re Piya,Rahat Fateh Ali Khan,Aaja Nachle,2007,relaxed,love calm peace serene gentle
Tose Naina,Shreya Ghoshal,Mickey Virus,2013,relaxed,eyes calm peace gentle serene
Woh Chali,Shreya Ghoshal,Jhoom Barabar Jhoom,2007,relaxed,journey gentle calm peaceful serene
Sajde,Arijit Singh,Kill Dil,2014,relaxed,devotion calm peace gentle serene
Channa Mereya Relax,Arijit Singh,Ae Dil Hai Mushkil,2016,relaxed,calm peace gentle introspective serene
Ae Watan,Arijit Singh,Raazi,2018,relaxed,nation gentle calm peaceful serene
Kesariya Relax,Arijit Singh,Brahmastra,2022,relaxed,soul calm peace serene gentle
Heer,Javed Ali,Jab Tak Hai Jaan,2012,relaxed,pure love calm gentle serene
Dildara,AR Rahman,Ra One,2011,relaxed,calm peace gentle serene love
Maula Mere Relax,Salim Merchant,Chak De India,2007,relaxed,surrender peace calm gentle serene
Tu Jaane Na Relax,Atif Aslam,Ajab Prem Ki Ghazab Kahani,2009,relaxed,calm peace gentle serene soul
Mast Magan,Arijit Singh,2 States,2014,relaxed,intoxicated calm peace gentle serene
Dilbara,Various,Dhoom,2004,relaxed,calm joyful peace gentle serene
Jab Koi Baat Bigad Jaye Relax,Various,Jurm,1989,relaxed,calm peace gentle serenity resolve
Tere Naina,Sonu Nigam,Chandni Chowk To China,2009,relaxed,eyes calm peace gentle serene
Bol Na Halke Halke,Shreya Ghoshal,Jhoom Barabar Jhoom,2007,relaxed,softly gently calm peaceful serene
Tu Bhi Aisa Hai Na,Various,Airlift,2016,relaxed,calm reassurance peace gentle serene
Tu Kuja Mann Kuja,Various,Haider,2014,relaxed,peace calm spiritual serene gentle
Rasiya,Various,Jodhaa Akbar,2008,relaxed,peace royal calm serene gentle
Yeh Mera Deewanapan,Various,Various,2000,relaxed,calm soul peace gentle serene
Qismat Se,Udit Narayan,Sur Kshetra,2012,relaxed,fate calm peace gentle serene soul
Hai Dil Ye Mera,Arijit Singh,Hate Story 2,2014,relaxed,gentle calm introspective peace serene
Aye Khuda,Mohit Chauhan,Murder 2,2011,relaxed,spiritual calm peace introspective serene
Mile Ho Tum,Tony Kakkar,Fever,2016,relaxed,meeting love calm peaceful gentle
Dilnasheen,Various,Various,2010,relaxed,heart calming peace serene gentle
Bheegi Bheegi,Udit Narayan,Gangster,2006,relaxed,rain calm peace serene gentle
Tum Jo Aaye,Rahat Fateh Ali Khan,Once Upon A Time In Mumbai,2010,relaxed,arrival love calm peace gentle
Mujhe Haq Hai,Udit Narayan,Vivah,2006,relaxed,right love calm gentle serene
Tera Mujhse Hai Pehle Ka Naata,Kishore Kumar,Aa Gale Lag Ja,1973,relaxed,soul connection calm peaceful serene
Chal Chal Re Naujawan,Various,Classic,1940,relaxed,gentle journey calm peaceful old soul
Ajeeb Dastan Hai Yeh,Lata Mangeshkar,Dil Apna Aur Preet Parai,1960,relaxed,strange story calm gentle nostalgic
Waqt Ne Kiya,Geeta Dutt,Kaagaz Ke Phool,1959,relaxed,time calm nostalgic gentle serene
Baharon Phool Barsao,Mohammad Rafi,Suraj,1966,relaxed,flowers spring calm gentle serene
Gata Rahe Mera Dil,Kishore Kumar,Guide,1965,relaxed,heart singing calm peaceful serene
Mere Jeevan Saathi,Kishore Kumar,Mere Jeevan Saathi,1972,relaxed,companion calm peaceful serene gentle
Yeh Shaam Mastani,Kishore Kumar,Kati Patang,1971,relaxed,evening intoxicated calm serene gentle
Na Koi Umang Hai,Kishore Kumar,Amar Prem,1972,relaxed,no desire calm resigned peaceful gentle
Raina Beeti Jaye,Lata Mangeshkar,Amar Prem,1972,relaxed,night passing calm gentle peaceful serene
Ye Kya Hua,Kishore Kumar,Amar Prem,1972,relaxed,what happened calm introspective serene gentle
Zindagi Ek Safar,Kishore Kumar,Andaz,1971,relaxed,life journey calm serene peaceful
Yeh Dil Na Hota Bechara,Kishore Kumar,Jewel Thief,1967,relaxed,heart helpless calm gentle nostalgic
Roop Tera Mastana Relax,Kishore Kumar,Aradhana,1969,relaxed,beauty calm serene romantic gentle
Phoolon Ka Taaron Ka,Kishore Kumar,Hare Rama Hare Krishna,1971,relaxed,flowers stars calm gentle serene
Tere Bina Zindagi Se,Kishore Kumar,Aandhi,1975,relaxed,without you life calm introspective serene
Woh Sham Kuch Ajeeb Thi,Kishore Kumar,Khamoshi,1969,relaxed,evening strange calm nostalgic serene
Dil Ke Jharokhe Mein,Kishore Kumar,Brahmacharya,1968,relaxed,window heart calm gentle introspective
Ek Pyaar Ka Nagma Hai,Mukesh,Shor,1972,relaxed,love song calm peaceful serene
Koi Hota Jisko Apna,Kishore Kumar,Mere Apne,1971,relaxed,someone own calm gentle introspective
Yeh Raatein Yeh Mausam,Kishore Kumar,Dilli Ka Thug,1958,relaxed,nights weather calm gentle nostalgic
Meri Bheegi Bheegi Si,Kishore Kumar,Anamika,1973,relaxed,wet rainy calm gentle nostalgic
O Mere Dil Ke Chain,Kishore Kumar,Mere Jeevan Saathi,1972,relaxed,heart peace calm soothing gentle
Bade Acche Lagte Hain,Various,Balika Badhu,1976,relaxed,nice feeling calm gentle peaceful
Pal Pal Dil Ke Paas,Kishore Kumar,Blackmail,1973,relaxed,moment heart close calm gentle
Sun Saiba Sun,Lata Mangeshkar,Ram Teri Ganga Maili,1985,relaxed,listen calm gentle serene peaceful
Tumse Milke,Shaan,Main Hoon Na,2004,romantic,meeting love beautiful happy feeling
Do Dil Mil Rahe Hain,Kumar Sanu,Pardes,1997,romantic,two hearts meeting love beautiful romance
Yeh Dil Deewana,Sonu Nigam,Pardes,1997,romantic,heart crazy love beautiful feelings romance
Koi Mil Gaya,Udit Narayan,Kuch Kuch Hota Hai,1998,romantic,found someone love beautiful feeling
Tu Mere Saamne,Kumar Sanu,Darr,1993,romantic,before me love beautiful yearning romance
Tere Nainon Mein,Kumar Sanu,Darr,1993,romantic,eyes love beautiful deep yearning romance
Dil Hai Tumhara,Alka Yagnik,Dil Hai Tumhara,2002,romantic,heart yours love beautiful devotion
Aur Pyaar Ho Gaya,Kumar Sanu,Aur Pyaar Ho Gaya,1997,romantic,more love happened beautiful feelings romance
Jaadu Teri Nazar,Udit Narayan,Darr,1993,romantic,magic your gaze love beautiful attraction
O Saathi Re,Mukesh,Muqaddar Ka Sikandar,1978,romantic,companion love gentle beautiful devotion
Pyar Kiya To Darna Kya,Lata Mangeshkar,Mughal-E-Azam,1960,romantic,fearless love brave beautiful romance
Mere Sapnon Ki Rani,Kishore Kumar,Aradhana,1969,romantic,dreams queen love beautiful longing romance
Yeh Shaam Mastani,Kishore Kumar,Kati Patang,1971,romantic,evening intoxicated love beautiful romance
Aa Jaane Jaa,Kishore Kumar,Intaquam,1969,romantic,come love invitation beautiful romance
Chura Liya Hai Tumne,Asha Bhosle,Yaadon Ki Baaraat,1973,romantic,stolen heart love beautiful romance
Tere Bina Jiya Jaye Na,Lata Mangeshkar,Ghar,1978,romantic,without you life love beautiful devotion
Kuch Na Kaho,Kumar Sanu,1942 A Love Story,1994,romantic,silence love beautiful yearning romance
Ek Ladki Ko Dekha,Kumar Sanu,1942 A Love Story,1994,romantic,girl seen love beautiful attraction romance
Roja Theme,AR Rahman,Roja,1992,romantic,love nature beautiful longing serene
Humein Aur Jeene Ki,Shreya Ghoshal,Silsila,2005,romantic,more life love beautiful feelings romance
Tadap Tadap,KK,Hum Dil De Chuke Sanam,1999,romantic,yearning love pain beautiful romance
Aankhon Ki Gustakhiyan,Udit Narayan,Hum Dil De Chuke Sanam,1999,romantic,eyes bold love beautiful romance
Chand Sifarish,Shaan,Fanaa,2006,romantic,moon recommend love beautiful feelings romance
Suraj Hua Maddham,Sonu Nigam,Kabhi Khushi Kabhi Gham,2001,romantic,sun dim love beautiful feelings romance
Bole Chudiyan,Udit Narayan,Kabhi Khushi Kabhi Gham,2001,romantic,bangles love cheerful beautiful romance
Kabhi Khushi Kabhi Gham,Lata Mangeshkar,Kabhi Khushi Kabhi Gham,2001,romantic,sometimes love family beautiful feelings
Koi Kahe Kehta Rahe,Aryans,Dil Chahta Hai,2001,romantic,let them say love beautiful free romance
Woh Ladki Hai Kahaan,Shaan,Dil Chahta Hai,2001,romantic,where is she love search beautiful romance
Jaane Kyun,Shankar Ehsaan Loy,Dil Chahta Hai,2001,romantic,why friendship love beautiful feelings
Kal Ho Naa Ho Romantic,Sonu Nigam,Kal Ho Naa Ho,2003,romantic,tomorrow love beautiful feelings romance
